year,country,city,stage,home_team,away_team,home_score,away_score,outcome,win_conditions,winning_team,losing_team,date,month,dayofweek,Year_Decade,Month
1930,Uruguay,Montevideo,Group 1,France,Mexico,4,1,H,no win conditions,France,Mexico,1930-07-13,Jul,Sunday,1930s,July
1930,Uruguay,Montevideo,Group 4,Belgium,United States,0,3,A,no win conditions,United States,Belgium,1930-07-13,Jul,Sunday,1930s,July
1930,Uruguay,Montevideo,Group 2,Brazil,Yugoslavia,1,2,A,no win conditions,Yugoslavia,Brazil,1930-07-14,Jul,Monday,1930s,July
1930,Uruguay,Montevideo,Group 3,Peru,Romania,1,3,A,no win conditions,Romania,Peru,1930-07-14,Jul,Monday,1930s,July
1930,Uruguay,Montevideo,Group 1,Argentina,France,1,0,H,no win conditions,Argentina,France,1930-07-15,Jul,Tuesday,1930s,July
1930,Uruguay,Montevideo,Group 1,Chile,Mexico,3,0,H,no win conditions,Chile,Mexico,1930-07-16,Jul,Wednesday,1930s,July
1930,Uruguay,Montevideo,Group 2,Bolivia,Yugoslavia,0,4,A,no win conditions,Yugoslavia,Bolivia,1930-07-17,Jul,Thursday,1930s,July
1930,Uruguay,Montevideo,Group 4,Paraguay,United States,0,3,A,no win conditions,United States,Paraguay,1930-07-17,Jul,Thursday,1930s,July
1930,Uruguay,Montevideo,Group 3,Uruguay,Peru,1,0,H,no win conditions,Uruguay,Peru,1930-07-18,Jul,Friday,1930s,July
1930,Uruguay,Montevideo,Group 1,Argentina,Mexico,5,3,H,no win conditions,Argentina,Mexico,1930-07-19,Jul,Saturday,1930s,July
1930,Uruguay,Montevideo,Group 1,Chile,France,1,0,H,no win conditions,Chile,France,1930-07-19,Jul,Saturday,1930s,July
1930,Uruguay,Montevideo,Group 4,Belgium,Paraguay,0,1,A,no win conditions,Paraguay,Belgium,1930-07-20,Jul,Sunday,1930s,July
1930,Uruguay,Montevideo,Group 2,Bolivia,Brazil,0,4,A,no win conditions,Brazil,Bolivia,1930-07-20,Jul,Sunday,1930s,July
1930,Uruguay,Montevideo,Group 3,Uruguay,Romania,4,0,H,no win conditions,Uruguay,Romania,1930-07-21,Jul,Monday,1930s,July
1930,Uruguay,Montevideo,Group 1,Argentina,Chile,3,1,H,no win conditions,Argentina,Chile,1930-07-22,Jul,Tuesday,1930s,July
1930,Uruguay,Montevideo,Semifinals,Argentina,United States,5,1,H,no win conditions,Argentina,United States,1930-07-26,Jul,Saturday,1930s,July
1930,Uruguay,Montevideo,Semifinals,Uruguay,Yugoslavia,5,1,H,no win conditions,Uruguay,Yugoslavia,1930-07-27,Jul,Sunday,1930s,July
