year,country,city,stage,away_team,home_score,away_score,outcome,win_conditions,winning_team,losing_team,date,month,dayofweek,Year_Decade,Month
1930,Uruguay,Montevideo,Group 1,Mexico,4,1,H,Italy won in AET,France,Mexico,1930-07-13,Jul,Sunday,1930s,July
1930,Uruguay,Montevideo,Group 4,United States,0,3,A,Italy won in AET,United States,Belgium,1930-07-13,Jul,Sunday,1930s,July
1930,Uruguay,Montevideo,Group 2,Yugoslavia,1,2,A,Italy won in AET,Yugoslavia,Brazil,1930-07-14,Jul,Monday,1930s,July
1930,Uruguay,Montevideo,Group 3,Romania,1,3,A,Italy won in AET,Romania,Peru,1930-07-14,Jul,Monday,1930s,July
1930,Uruguay,Montevideo,Group 1,France,1,0,H,Italy won in AET,Argentina,France,1930-07-15,Jul,Tuesday,1930s,July
1930,Uruguay,Montevideo,Group 1,Mexico,3,0,H,Italy won in AET,Chile,Mexico,1930-07-16,Jul,Wednesday,1930s,July
1930,Uruguay,Montevideo,Group 2,Yugoslavia,0,4,A,Italy won in AET,Yugoslavia,Bolivia,1930-07-17,Jul,Thursday,1930s,July
1930,Uruguay,Montevideo,Group 4,United States,0,3,A,Italy won in AET,United States,Paraguay,1930-07-17,Jul,Thursday,1930s,July
1930,Uruguay,Montevideo,Group 3,Peru,1,0,H,Italy won in AET,Uruguay,Peru,1930-07-18,Jul,Friday,1930s,July
1930,Uruguay,Montevideo,Group 1,Mexico,5,3,H,Italy won in AET,Argentina,Mexico,1930-07-19,Jul,Saturday,1930s,July
1930,Uruguay,Montevideo,Group 1,France,1,0,H,Italy won in AET,Chile,France,1930-07-19,Jul,Saturday,1930s,July
1930,Uruguay,Montevideo,Group 4,Paraguay,0,1,A,Italy won in AET,Paraguay,Belgium,1930-07-20,Jul,Sunday,1930s,July
1930,Uruguay,Montevideo,Group 2,Brazil,0,4,A,Italy won in AET,Brazil,Bolivia,1930-07-20,Jul,Sunday,1930s,July
1930,Uruguay,Montevideo,Group 3,Romania,4,0,H,Italy won in AET,Uruguay,Romania,1930-07-21,Jul,Monday,1930s,July
1930,Uruguay,Montevideo,Group 1,Chile,3,1,H,Italy won in AET,Argentina,Chile,1930-07-22,Jul,Tuesday,1930s,July
1930,Uruguay,Montevideo,Semifinals,United States,5,1,H,Italy won in AET,Argentina,United States,1930-07-26,Jul,Saturday,1930s,July
1930,Uruguay,Montevideo,Semifinals,Yugoslavia,5,1,H,Italy won in AET,Uruguay,Yugoslavia,1930-07-27,Jul,Sunday,1930s,July
1930,Uruguay,Montevideo,Final,Argentina,4,2,H,Italy won in AET,Uruguay,Argentina,1930-07-30,Jul,Wednesday,1930s,July
1934,Italy,Bologna,Round of 16,Sweden,2,3,A,Italy won in AET,Sweden,Argentina,1934-05-27,May,Sunday,1930s,May
