year,country,city,stage,home_team,away_team,home_score,away_score,outcome,win_conditions,winning_team,losing_team,date,month,dayofweek,Year_Decade,Month
1930,Uruguay,Montevideo,Group 1,France,Mexico,4,1,H,Italy won in AET,France,Mexico,1930-07-13,Jul,Sunday,1930s,July
1930,Uruguay,Montevideo,Group 4,Belgium,United States,0,3,A,Italy won in AET,United States,Belgium,1930-07-13,Jul,Sunday,1930s,July
1930,Uruguay,Montevideo,Group 2,Brazil,Yugoslavia,1,2,A,Italy won in AET,Yugoslavia,Brazil,1930-07-14,Jul,Monday,1930s,July
1930,Uruguay,Montevideo,Group 3,Peru,Romania,1,3,A,Italy won in AET,Romania,Peru,1930-07-14,Jul,Monday,1930s,July
1930,Uruguay,Montevideo,Group 1,Argentina,France,1,0,H,Italy won in AET,Argentina,France,1930-07-15,Jul,Tuesday,1930s,July
1930,Uruguay,Montevideo,Group 1,Chile,Mexico,3,0,H,Italy won in AET,Chile,Mexico,1930-07-16,Jul,Wednesday,1930s,July
1930,Uruguay,Montevideo,Group 2,Bolivia,Yugoslavia,0,4,A,Italy won in AET,Yugoslavia,Bolivia,1930-07-17,Jul,Thursday,1930s,July
1930,Uruguay,Montevideo,Group 4,Paraguay,United States,0,3,A,Italy won in AET,United States,Paraguay,1930-07-17,Jul,Thursday,1930s,July
1930,Uruguay,Montevideo,Group 3,Uruguay,Peru,1,0,H,Italy won in AET,Uruguay,Peru,1930-07-18,Jul,Friday,1930s,July
1930,Uruguay,Montevideo,Group 1,Argentina,Mexico,5,3,H,Italy won in AET,Argentina,Mexico,1930-07-19,Jul,Saturday,1930s,July
1930,Uruguay,Montevideo,Group 1,Chile,France,1,0,H,Italy won in AET,Chile,France,1930-07-19,Jul,Saturday,1930s,July
1930,Uruguay,Montevideo,Group 4,Belgium,Paraguay,0,1,A,Italy won in AET,Paraguay,Belgium,1930-07-20,Jul,Sunday,1930s,July
1930,Uruguay,Montevideo,Group 2,Bolivia,Brazil,0,4,A,Italy won in AET,Brazil,Bolivia,1930-07-20,Jul,Sunday,1930s,July
1930,Uruguay,Montevideo,Group 3,Uruguay,Romania,4,0,H,Italy won in AET,Uruguay,Romania,1930-07-21,Jul,Monday,1930s,July
